
NOTICE: Existing SQLite export found: report_nsys_v2.sqlite
        It is assumed file was previously exported from: report_nsys_v2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report_nsys_v2.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/nvtx_pushpop_trace.py]... 
Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
1898139934,1898181934,42000,0,42000,:VecTDot,189126,189126,1,0,143,10,:10:143,--:VecTDot
1898182474,1898193544,11070,0,11070,:VecAYPX,189126,189126,1,0,144,10,:10:144,--:VecAYPX
1898194024,1898204774,10750,0,10750,:MatMult,189126,189126,1,0,145,10,:10:145,--:MatMult
1898205324,1898407498,202174,0,202174,:VecTDot,189126,189126,1,0,146,10,:10:146,--:VecTDot
1898418048,1898425338,7290,0,7290,:VecAXPY,189126,189126,1,0,147,10,:10:147,--:VecAXPY
1898425948,1898442018,16070,0,16070,:VecAXPY,189126,189126,1,0,148,10,:10:148,--:VecAXPY
1898442648,1898453858,11210,10240,970,:PCApply,189126,189126,1,1,149,10,:10:149,--:PCApply
1898443318,1898453558,10240,9070,1170,:VecPointwiseMult,189126,189126,2,1,150,149,:10:149:150,----:VecPointwiseMult
1898444048,1898453118,9070,0,9070,CCCL:thrust::transform,189126,189126,3,0,151,150,:10:149:150:151,------CCCL:thrust::transform
1898454288,1898534779,80491,0,80491,:VecNorm,189126,189126,1,0,152,10,:10:152,--:VecNorm
1898535639,1898582380,46741,0,46741,:VecTDot,189126,189126,1,0,153,10,:10:153,--:VecTDot
1898582920,1898593760,10840,0,10840,:VecAYPX,189126,189126,1,0,154,10,:10:154,--:VecAYPX
1898594220,1898605541,11321,0,11321,:MatMult,189126,189126,1,0,155,10,:10:155,--:MatMult
1898606091,1898806974,200883,0,200883,:VecTDot,189126,189126,1,0,156,10,:10:156,--:VecTDot
1898807524,1898813814,6290,0,6290,:VecAXPY,189126,189126,1,0,157,10,:10:157,--:VecAXPY
1898814224,1898819244,5020,0,5020,:VecAXPY,189126,189126,1,0,158,10,:10:158,--:VecAXPY
1898819734,1898830214,10480,9350,1130,:PCApply,189126,189126,1,1,159,10,:10:159,--:PCApply
1898820564,1898829914,9350,8380,970,:VecPointwiseMult,189126,189126,2,1,160,159,:10:159:160,----:VecPointwiseMult
1898821224,1898829604,8380,0,8380,CCCL:thrust::transform,189126,189126,3,0,161,160,:10:159:160:161,------CCCL:thrust::transform
1898835694,1898919975,84281,0,84281,:VecNorm,189126,189126,1,0,162,10,:10:162,--:VecNorm
1898920845,1898969486,48641,0,48641,:VecTDot,189126,189126,1,0,163,10,:10:163,--:VecTDot
1898970036,1898980926,10890,0,10890,:VecAYPX,189126,189126,1,0,164,10,:10:164,--:VecAYPX
1898981686,1898992756,11070,0,11070,:MatMult,189126,189126,1,0,165,10,:10:165,--:MatMult
1898993316,1899195459,202143,0,202143,:VecTDot,189126,189126,1,0,166,10,:10:166,--:VecTDot
1899196159,1899202200,6041,0,6041,:VecAXPY,189126,189126,1,0,167,10,:10:167,--:VecAXPY
1899202580,1899207530,4950,0,4950,:VecAXPY,189126,189126,1,0,168,10,:10:168,--:VecAXPY
1899208030,1899218070,10040,9180,860,:PCApply,189126,189126,1,1,169,10,:10:169,--:PCApply
1899208590,1899217770,9180,8160,1020,:VecPointwiseMult,189126,189126,2,1,170,169,:10:169:170,----:VecPointwiseMult
1899209270,1899217430,8160,0,8160,CCCL:thrust::transform,189126,189126,3,0,171,170,:10:169:170:171,------CCCL:thrust::transform
1899218520,1899302301,83781,0,83781,:VecNorm,189126,189126,1,0,172,10,:10:172,--:VecNorm
1899303171,1899348942,45771,0,45771,:VecTDot,189126,189126,1,0,173,10,:10:173,--:VecTDot
1899349652,1899359942,10290,0,10290,:VecAYPX,189126,189126,1,0,174,10,:10:174,--:VecAYPX
1899360332,1899376662,16330,0,16330,:MatMult,189126,189126,1,0,175,10,:10:175,--:MatMult
1899377132,1899571645,194513,0,194513,:VecTDot,189126,189126,1,0,176,10,:10:176,--:VecTDot
1899572265,1899579165,6900,0,6900,:VecAXPY,189126,189126,1,0,177,10,:10:177,--:VecAXPY
1899579555,1899584715,5160,0,5160,:VecAXPY,189126,189126,1,0,178,10,:10:178,--:VecAXPY
1899585175,1899595365,10190,9470,720,:PCApply,189126,189126,1,1,179,10,:10:179,--:PCApply
1899585565,1899595035,9470,8540,930,:VecPointwiseMult,189126,189126,2,1,180,179,:10:179:180,----:VecPointwiseMult
1899586175,1899594715,8540,0,8540,CCCL:thrust::transform,189126,189126,3,0,181,180,:10:179:180:181,------CCCL:thrust::transform
1899595875,1899680197,84322,0,84322,:VecNorm,189126,189126,1,0,182,10,:10:182,--:VecNorm
1899681157,1899729087,47930,0,47930,:VecTDot,189126,189126,1,0,183,10,:10:183,--:VecTDot
1899729737,1899740868,11131,0,11131,:VecAYPX,189126,189126,1,0,184,10,:10:184,--:VecAYPX
1899741328,1899754508,13180,0,13180,:MatMult,189126,189126,1,0,185,10,:10:185,--:MatMult
1899754928,1899956581,201653,0,201653,:VecTDot,189126,189126,1,0,186,10,:10:186,--:VecTDot
1899957111,1899962801,5690,0,5690,:VecAXPY,189126,189126,1,0,187,10,:10:187,--:VecAXPY
1899963211,1899968331,5120,0,5120,:VecAXPY,189126,189126,1,0,188,10,:10:188,--:VecAXPY
1899968881,1899980381,11500,10230,1270,:PCApply,189126,189126,1,1,189,10,:10:189,--:PCApply
1899969841,1899980071,10230,8960,1270,:VecPointwiseMult,189126,189126,2,1,190,189,:10:189:190,----:VecPointwiseMult
1899970651,1899979611,8960,0,8960,CCCL:thrust::transform,189126,189126,3,0,191,190,:10:189:190:191,------CCCL:thrust::transform
1899980891,1900063632,82741,0,82741,:VecNorm,189126,189126,1,0,192,10,:10:192,--:VecNorm
1900064382,1900108973,44591,0,44591,:VecTDot,189126,189126,1,0,193,10,:10:193,--:VecTDot
1900109473,1900119793,10320,0,10320,:VecAYPX,189126,189126,1,0,194,10,:10:194,--:VecAYPX
1900120243,1900131033,10790,0,10790,:MatMult,189126,189126,1,0,195,10,:10:195,--:MatMult
1900131303,1900334067,202764,0,202764,:VecTDot,189126,189126,1,0,196,10,:10:196,--:VecTDot
1900334587,1900340747,6160,0,6160,:VecAXPY,189126,189126,1,0,197,10,:10:197,--:VecAXPY
1900340997,1900345967,4970,0,4970,:VecAXPY,189126,189126,1,0,198,10,:10:198,--:VecAXPY
1900346607,1900357517,10910,9830,1080,:PCApply,189126,189126,1,1,199,10,:10:199,--:PCApply
1900347487,1900357317,9830,8590,1240,:VecPointwiseMult,189126,189126,2,1,200,199,:10:199:200,----:VecPointwiseMult
1900348297,1900356887,8590,0,8590,CCCL:thrust::transform,189126,189126,3,0,201,200,:10:199:200:201,------CCCL:thrust::transform
1900357837,1900443298,85461,0,85461,:VecNorm,189126,189126,1,0,202,10,:10:202,--:VecNorm
1900444198,1900489979,45781,0,45781,:VecTDot,189126,189126,1,0,203,10,:10:203,--:VecTDot
1900490549,1900501319,10770,0,10770,:VecAYPX,189126,189126,1,0,204,10,:10:204,--:VecAYPX
1900501819,1900514079,12260,0,12260,:MatMult,189126,189126,1,0,205,10,:10:205,--:MatMult
1900514499,1900715852,201353,0,201353,:VecTDot,189126,189126,1,0,206,10,:10:206,--:VecTDot
1900716362,1900722572,6210,0,6210,:VecAXPY,189126,189126,1,0,207,10,:10:207,--:VecAXPY
1900722952,1900727752,4800,0,4800,:VecAXPY,189126,189126,1,0,208,10,:10:208,--:VecAXPY
1900728202,1900738263,10061,9201,860,:PCApply,189126,189126,1,1,209,10,:10:209,--:PCApply
1900728812,1900738013,9201,8100,1101,:VecPointwiseMult,189126,189126,2,1,210,209,:10:209:210,----:VecPointwiseMult
1900729603,1900737703,8100,0,8100,CCCL:thrust::transform,189126,189126,3,0,211,210,:10:209:210:211,------CCCL:thrust::transform
1900738743,1900819464,80721,0,80721,:VecNorm,189126,189126,1,0,212,10,:10:212,--:VecNorm
1900820164,1900878555,58391,0,58391,:VecTDot,189126,189126,1,0,213,10,:10:213,--:VecTDot
1900879175,1900890605,11430,0,11430,:VecAYPX,189126,189126,1,0,214,10,:10:214,--:VecAYPX
1900891145,1900903355,12210,0,12210,:MatMult,189126,189126,1,0,215,10,:10:215,--:MatMult
1900903765,1901105758,201993,0,201993,:VecTDot,189126,189126,1,0,216,10,:10:216,--:VecTDot
1901106258,1901112228,5970,0,5970,:VecAXPY,189126,189126,1,0,217,10,:10:217,--:VecAXPY
1901112598,1901121558,8960,0,8960,:VecAXPY,189126,189126,1,0,218,10,:10:218,--:VecAXPY
1901122148,1901132759,10611,9701,910,:PCApply,189126,189126,1,1,219,10,:10:219,--:PCApply
1901122768,1901132469,9701,8621,1080,:VecPointwiseMult,189126,189126,2,1,220,219,:10:219:220,----:VecPointwiseMult
1901123448,1901132069,8621,0,8621,CCCL:thrust::transform,189126,189126,3,0,221,220,:10:219:220:221,------CCCL:thrust::transform
1901133299,1901217670,84371,0,84371,:VecNorm,189126,189126,1,0,222,10,:10:222,--:VecNorm
1901218270,1901262741,44471,0,44471,:VecTDot,189126,189126,1,0,223,10,:10:223,--:VecTDot
1901263281,1901281701,18420,0,18420,:VecAYPX,189126,189126,1,0,224,10,:10:224,--:VecAYPX
1901282241,1901293481,11240,0,11240,:MatMult,189126,189126,1,0,225,10,:10:225,--:MatMult
1901297411,1901493144,195733,0,195733,:VecTDot,189126,189126,1,0,226,10,:10:226,--:VecTDot
1901493854,1901501944,8090,0,8090,:VecAXPY,189126,189126,1,0,227,10,:10:227,--:VecAXPY
1901502404,1901507574,5170,0,5170,:VecAXPY,189126,189126,1,0,228,10,:10:228,--:VecAXPY
1901508224,1901518854,10630,9730,900,:PCApply,189126,189126,1,1,229,10,:10:229,--:PCApply
1901508834,1901518564,9730,8520,1210,:VecPointwiseMult,189126,189126,2,1,230,229,:10:229:230,----:VecPointwiseMult
1901509584,1901518104,8520,0,8520,CCCL:thrust::transform,189126,189126,3,0,231,230,:10:229:230:231,------CCCL:thrust::transform
1901519434,1901603986,84552,0,84552,:VecNorm,189126,189126,1,0,232,10,:10:232,--:VecNorm
1901604806,1901650046,45240,0,45240,:VecTDot,189126,189126,1,0,233,10,:10:233,--:VecTDot
1901650576,1901660967,10391,0,10391,:VecAYPX,189126,189126,1,0,234,10,:10:234,--:VecAYPX
1901661477,1901673857,12380,0,12380,:MatMult,189126,189126,1,0,235,10,:10:235,--:MatMult
1901674267,1901876140,201873,0,201873,:VecTDot,189126,189126,1,0,236,10,:10:236,--:VecTDot
